EQUIPMENT_ID,EQUIPMENT,PURCHASE_PRICE
E0000,Thermometer clinical,1.01
E0001,"Intubation tubes, assorted sizes",2.61
E0002,Pedal Pins,3.25
E0003,Stethoscope,3.92
E0004,Chest tubes,4.31
E0005,Mouth gags,6.06
E0006,Thomas Splints,7.84
E0007,"Sphygmomanometer,",13.4
E0008,Stainless Steel trays,18.59
E0009,Infusion stand,35.3
E0010,Wheel chair adult,93.69
E0011,"Trolley, patient, stretcher",202.65
E0012,"Airways,assorted sizes",5.31
E0013,Cervical collars,11.1
E0014,Gastric lavage set,10.3
E0015,Nebulisers,18.28
E0016,"Ambu bag, adult",24.28
E0017,"Ambu bag, pediatrics",24.51
E0018,Resuscitation trays,35.18
E0019,Screen bed,60.4
E0020,Examination couch metal/wooden,164.81
E0021,Fetoscope,1.12
E0022,Wall clock,3.19
E0023,Autoclaving Drums,23.27
E0024,Underwater seal drainage,24.22
E0025,Diagnostic set,46.19
E0026,Enema Set,89.39
E0027,"Trolley, dressing",106.21
E0028,Oxygen regulator with flow meter,136.69
E0029,Trolley instrument(assorted),149.4
E0030,"Suction machine, electrical",493.28
E0031,"Trolley, medicine/drug",582.51
E0032,Tape measure,3.29
E0033,Percussion Hammer,7.64
E0034,Emergency lamp,9.74
E0035,Spot light,14.63
E0036,"Stethoscope, baby",32.77
E0037,Manual suction machine,42.7
E0038,"Examination lamp, mobile",106.8
E0039,Laryngoscope,155.79
E0040,"Trolley, general purpose",182.19
E0041,X ray Viewers,202.53
E0042,"Trolley,Emergency",342.93
E0043,Oxygen concentrators,934.99
E0044,ECG Monitor,5394.98
E0045,"Trolley, gas cylinder",74.13
E0046,"Trolley, linen",189.91
E0047,"Refrigerator, pharmaceutical",482.29
E0048,Pulse oximeter,1495.23
E0049,Defibrillator,1888.1
E0050,Sterilizing drums (assorted),22.49
E0051,Instrument sets (assorted),1065.5
E0052,Instrument Shelves,127.72
E0053,Instrument drying cabinet,190.04
E0054,Instrument Cabinet,381.73
E0055,"Autoclave, large",24018.19
E0056,Ultrasonic Washer,803.38
E0057,Wax knife,3.81
E0058,Lecron cover,4.57
E0059,Dental flask,14.67
E0060,Dental Articulator,18.96
E0061,Dental clamp,15.04
E0062,Wire cutter,12.9
E0063,Suspension motor/micromotor with stand,707.65
E0064,Spirit lamp,1.44
E0065,Mixing spatula,4.23
E0066,Rubber mixing bowl,8.5
E0067,Plaster knife,4.43
E0068,Hot air syringe,14.67
E0069,Orthodontic plier(set)see annex,22.13
E0070,Bench press,114.11
E0071,Fret saw,1.91
E0072,Crown flask with clamp,19.64
E0073,Vibrator,112.5
E0074,Model trimmer,139.27
E0075,Hydroflask/pressure pot,168.53
E0076,Sand plaster,172.97
E0077,Casting machine,164.02
E0078,Curing bath,246.39
E0079,High speed grinder,273.17
E0080,Model drier,330.1
E0081,Pin dexing,376.78
E0082,Heating furnace,333.33
E0083,Dewaxing machine,360.23
E0084,Polishing lathe,450.91
E0085,Work bench,639.14
E0086,Programmed porcelain machine,2117.1
E0087,Air compressor,2693.11
E0088,Examination probes,3.0
E0089,Explorers,3.14
E0090,Dental examination mirror,6.84
E0091,"Hand pieces, 4holes, high speed",183.85
E0092,Dental chair unit,7718.73
E0093,Dental extraction forceps(assorted) -see annex,210.98
E0094,X - ray viewer,212.99
E0095,Amalgamator,228.36
E0096,Dental instrument cabinet,339.83
E0097,Suction machine,519.89
E0098,Ultrasonic scalar,984.59
E0099,Dental Compressor(50litres),2478.3
E0100,Dental autoclave,3662.32
E0102,BP machine,12.3
E0103,Jobson horn probe,12.77
E0104,Sterilising drum,20.8
E0105,Nasal speculum,27.24
E0106,Cellman hooks,43.4
E0107,Laryngeal mirror,54.69
E0108,Troucher and canulla,50.35
E0109,"Brondoscope, adult",82.11
E0110,"Brondoscope, paed",78.34
E0111,Pneumatic ear speculum,105.27
E0112,Tuning fork,120.78
E0113,Otoscope,148.48
E0114,"Telespectomy set, paed",141.31
E0115,Ear Syringe,177.43
E0116,"Telespectomy set, adult",190.12
E0117,Oephagoscope,224.54
E0118,ENT Diagnostic Set,255.25
E0119,Tonsilectomy,225.66
E0120,Portable lamp,280.56
E0121,Head light,288.47
E0122,Noise Box,424.14
E0123,Cautery machine,430.28
E0124,ENT Table,4650.69
E0125,Tympanometer,1037.98
E0126,Lightsource(endoscopic),1654.61
E0127,"Audiometer, diagnostic",3922.12
E0128,ENT Treatment Chair,8593.51
E0129,Spotlight,12.87
E0130,Eye chart,16.45
E0131,Operating stool,34.61
E0132,Eye Chart E-type,49.4
E0133,ECCE + 11 set,105.96
E0134,ICCE set,174.71
E0135,Lid surgery set,193.47
E0136,Cataract set,345.68
E0137,Eye loupe,483.11
E0138,Retinoscope,723.08
E0139,Slit Lamp,5280.89
E0140,Ophthalmoscope set,164.7
E0141,Focimeter 240,912.9
E0142,Eye tonometer,1126.15
E0143,Perimeter,1482.39
E0144,Corneal trephine,1737.97
E0145,Trial Lens,2231.36
E0146,Plant operating ophthamology,4960.04
E0147,Eye operation microscope,5396.3
E0148,Eye examination microscope with tonometer,6261.69
E0149,Indirect Opthalmoscope,8438.4
E0151,Baby cot,326.94
E0152,Bed,1151.28
E0154,"Trolley, instrument",142.07
E0155,"Suction machine, electric",460.72
E0157,Patient trolley,179.59
E0159,Syringe pump,108.75
E0160,Infusion pump,168.37
E0162,ICU bed,1095.72
E0165,Patient monitor,3172.56
E0170,"Refrigerator, general",486.39
E0171,Infant radiant warmer,865.38
E0173,"Ventilator, infant",6388.25
E0174,"Ventilator, adult",7754.51
E0175,Mobile X -ray unit,35355.71
E0177,Binocular microscope,243.98
E0178,Hand tally counter,160.72
E0179,Glucose analyzer,47.38
E0180,Centrifuge,467.59
E0181,Vaccine transport box,71.05
E0182,Slide warmer,65.33
E0183,Mixer,246.46
E0184,Water bath,598.96
E0185,Calorimeter,229.14
E0186,Trip Balance,314.1
E0187,Digital count pen,1812.43
E0188,Kerosene Stove,6.46
E0190,Weighing scale adult,73.63
E0191,"Glass ware set, Laboratory",112.16
E0192,Neuberchamber,193.01
E0194,Analytic balance,229.55
E0195,Water distiller,790.84
E0196,PH meter,1125.44
E0197,Electrophoresis apparatus,1202.95
E0198,Bilirubin meter,1278.55
E0199,"Incubator, laboratory",1617.96
E0200,Blood bank refrigerator,1722.2
E0201,"Haemoglobinometer, electronic",1951.69
E0202,Hot air oven,2559.79
E0203,Water de-ionizer,3380.89
E0204,"Blood cell counter, Electrical",3447.5
E0208,Autoclave,3757.79
E0209,HIV screening machine/ Test kits,9778.53
E0210,Obstetric bed,95.72
E0214,Delivery bed,2899.27
E0215,Sphygmomanometer(BP machine),12.62
E0216,"Incubator, infant",3420.6
E0217,Infant weighing scale,28.6
E0218,Oxygen set,134.05
E0219,Ultrasonic Nebulizer,262.53
E0220,Examination Lamp,277.16
E0221,Phototherapy unit,622.37
E0223,Rescucitaire,1119.44
E0224,Blood warmer,474.77
E0225,Gynecological examination table,487.2
E0226,Refrigerator,449.76
E0227,"Suction machine, manual",448.45
