DEPARTMENT,EQUIPMENT,QTY,UNIT_COST,TOTAL COST
CASUALTY,Thermometer clinical,10,1.36,13.59
CASUALTY,"Intubation tubes, assorted sizes",6,3.17,19.02
CASUALTY,Pedal Pins,5,4.08,20.38
CASUALTY,Stethoscope,5,5.43,27.17
CASUALTY,Chest tubes,5,5.43,27.17
CASUALTY,Mouth gags,5,8.61,43.03
CASUALTY,Thomas Splints,5,10.87,54.35
CASUALTY,"Sphygmomanometer,",5,16.30,81.52
CASUALTY,Stainless Steel trays,5,22.64,113.22
CASUALTY,Infusion stand,5,43.48,217.39
CASUALTY,Wheel chair adult,5,114.58,572.92
CASUALTY,"Trolley, patient, stretcher",5,241.67,1208.33
CASUALTY,"Airways,assorted sizes",4,7.25,28.99
CASUALTY,Cervical collars,4,13.59,54.35
CASUALTY,Gastric lavage set,4,13.59,54.35
CASUALTY,Nebulisers,4,22.64,90.58
CASUALTY,"Ambu bag, adult",4,31.70,126.81
CASUALTY,"Ambu bag, pediatrics",4,31.70,126.81
CASUALTY,Resuscitation trays,4,49.82,199.28
CASUALTY,Screen bed,4,86.05,344.20
CASUALTY,Examination couch metal/wooden,4,200.00,800.00
CASUALTY,Fetoscope,3,1.36,4.08
CASUALTY,Wall clock,3,4.53,13.59
CASUALTY,Autoclaving Drums,3,28.82,86.47
CASUALTY,Underwater seal drainage,3,31.70,95.11
CASUALTY,Diagnostic set,3,59.78,179.35
CASUALTY,Enema Set,3,108.70,326.09
CASUALTY,"Trolley, dressing",3,135.87,407.61
CASUALTY,Oxygen regulator with flow meter,3,163.04,489.13
CASUALTY,Trolley instrument(assorted),3,200.00,600.00
CASUALTY,"Suction machine, electrical",3,634.06,1902.17
CASUALTY,"Trolley, medicine/drug",3,751.36,2254.08
CASUALTY,Tape measure,2,4.08,8.15
CASUALTY,Percussion Hammer,2,10.87,21.74
CASUALTY,Emergency lamp,2,13.59,27.17
CASUALTY,Spot light,2,17.21,34.42
CASUALTY,"Stethoscope, baby",2,40.76,81.52
CASUALTY,Manual suction machine,2,58.88,117.75
CASUALTY,"Examination lamp, mobile",2,135.87,271.74
CASUALTY,Laryngoscope,2,184.13,368.26
CASUALTY,"Trolley, general purpose",2,226.45,452.90
CASUALTY,X ray Viewers,2,271.74,543.48
CASUALTY,"Trolley,Emergency",2,407.61,815.22
CASUALTY,Oxygen concentrators,2,1164.86,2329.71
CASUALTY,ECG Monitor,2,6723.52,13447.05
CASUALTY,"Trolley, gas cylinder",1,90.58,90.58
CASUALTY,"Trolley, linen",1,241.49,241.49
CASUALTY,"Refrigerator, pharmaceutical",1,634.06,634.06
CASUALTY,Pulse oximeter,1,1811.59,1811.59
CASUALTY,Defibrillator,1,2401.43,2401.43
CSSD,Sterilizing drums (assorted),10,28.82,288.22
CSSD,Instrument sets (assorted),3,1358.70,4076.09
CSSD,Instrument Shelves,2,181.16,362.32
CSSD,Instrument drying cabinet,2,226.45,452.90
CSSD,Instrument Cabinet,2,452.90,905.80
CSSD,"Autoclave, large",2,34250.73,68501.47
CSSD,Ultrasonic Washer,1,1086.96,1086.96
DENTAL LAB,Wax knife,12,4.53,54.35
DENTAL LAB,Lecron cover,12,5.89,70.65
DENTAL LAB,Dental flask,8,18.12,144.93
DENTAL LAB,Dental Articulator,6,22.64,135.87
DENTAL LAB,Dental clamp,4,18.12,72.46
DENTAL LAB,Wire cutter,4,18.12,72.46
DENTAL LAB,Suspension motor/micromotor with stand,4,905.80,3623.19
DENTAL LAB,Spirit lamp,3,1.81,5.43
