DEPARTMENT,QTY,EQUIPMENT_ID,UNIT_COST,SALE_ID,SALE_DATE,HOSPITAL_ID,LAST_UPDATE_DATE
EYE UNIT,2,E0133,144.93,M000000001,2021-04-01,US_HOSP_1,2021-04-01 11:43:43.677
MCH/FP,2,E0038,333.06,M000000001,2021-04-01,US_HOSP_1,2021-04-01 11:43:43.677
DENTAL LAB,3,E0060,22.64,M000000001,2021-04-01,US_HOSP_1,2021-04-01 11:43:43.677
DENTAL LAB,1,E0078,317.03,M000000001,2021-04-01,US_HOSP_1,2021-04-01 11:43:43.677
ORTHOPAEDIC TECHNOLOGY,1,E0324,1811.59,M000000001,2021-04-01,US_HOSP_1,2021-04-01 11:43:43.677
OCCUPATIONAL THERAPY,1,E0285,6.34,M000000001,2021-04-01,US_HOSP_1,2021-04-01 11:43:43.677
WARD,1,E0226,634.06,M000000001,2021-04-01,US_HOSP_1,2021-04-01 11:43:43.677
ENT,1,E0107,67.93,M000000001,2021-04-01,US_HOSP_1,2021-04-01 11:43:43.677
PHSYSIOTHERAPY,1,E0359,23.55,M000000001,2021-04-01,US_HOSP_1,2021-04-01 11:43:43.677
ORTHOPAEDIC TECHNOLOGY,2,E0302,36.23,M000000001,2021-04-01,US_HOSP_1,2021-04-01 11:43:43.677
CASUALTY,3,E0008,22.64,M000000001,2021-04-01,US_HOSP_1,2021-04-01 11:43:43.677
CASUALTY,3,E0018,49.82,M000000001,2021-04-01,US_HOSP_1,2021-04-01 11:43:43.677
MATERNITY,1,E0208,4690.6,M000000001,2021-04-01,US_HOSP_1,2021-04-01 11:43:43.677
ICU,1,E0049,2401.43,M000000001,2021-04-01,US_HOSP_1,2021-04-01 11:43:43.677
OUT PATIENT DEPARTMENT,5,E0000,1.36,M000000001,2021-04-01,US_HOSP_1,2021-04-01 11:43:43.677
X - RAY,1,E0468,27.17,M000000001,2021-04-01,US_HOSP_1,2021-04-01 11:43:43.677
CASUALTY,2,E0044,6723.52,M000000001,2021-04-01,US_HOSP_1,2021-04-01 11:43:43.677
X - RAY,1,E0490,54347.83,M000000001,2021-04-01,US_HOSP_1,2021-04-01 11:43:43.677
ENT,1,E0126,2221.92,M000000001,2021-04-01,US_HOSP_1,2021-04-01 11:43:43.677
LABORATORY,4,E0178,226.45,M000000001,2021-04-01,US_HOSP_1,2021-04-01 11:43:43.677
OCCUPATIONAL THERAPY,2,E0289,13.59,M000000001,2021-04-01,US_HOSP_1,2021-04-01 11:43:43.677
PHARMACY,2,E0355,452.9,M000000001,2021-04-01,US_HOSP_1,2021-04-01 11:43:43.677
